Index;Name;Description;Brand;Category;Price;Currency;Stock;EAN;Color;Size;Availability;Product ID
1;Compact Printer Air Advanced Digital;Situationorganizationthesememorymuchoff.;Garner,BoyleandFlynn;Books&Stationery;265;USD;774;2091470000000;ForestGreen;L;pre order;56
2;Tablet;Discussionlosspoliticsfreeonethousand.;MuellerInc;Shoes&Footwear;502;USD;81;5286200000000;Black;8X10In;in stock;29
3;Smart Blender Cooker;Nosituationper.;Lawson,KellerandWinters;KitchenAppliances;227;USD;726;1282900000000;SlateGray;Xs;in stock;70
4;Advanced Router Rechargeable;Forforcegasenergysixlaugh.;GallagherandSons;KitchenAppliances;121;USD;896;3879180000000;PaleGreen;L;discontinued;31
5;Portable Mouse Monitor Phone;Feelingbackreligioushoweverauthorroomscientist.;IrwinLLC;Kids'Clothing;1;USD;925;9055770000000;SeaShell;100X200M;discontinued;10
6;Radio;Characterprovegrowthcontainseriouscustomer.;Benjamin,NelsonandHancock;Skincare;426;USD;549;1150030000000;CornflowerBlue;30X40Cm;pre order;60
7;Ultra Projector Oven Thermostat Prime Advanced;Patternpossiblelooknecessaryindicateworknearly.;Mccoy,WatersandRose;Laptops&Computers;68;USD;870;5029750000000;Purple;S;discontinued;86
8;Webcam Stove Grill;Deepareajoincarryage.;MorrowandSons;Automotive;159;USD;584;9883730000000;MediumOrchid;8X10In;pre order;50
9;Eco Radio;Knowfatherforactlet.;Edwards,OdonnellandConley;Skincare;454;USD;499;1773220000000;DimGray;M;pre order;88
10;Wireless Dock;Wholebillsoundwhetherwill.;Russo-West;Health&Wellness;257;USD;168;9680810000000;Wheat;Xl;pre order;30
11;Fast Camera Router Fan Smart;Variousabovetroubleitselfcrimeform.;VazquezandSons;CleaningSupplies;221;USD;672;8567220000000;MidnightBlue;Medium;pre order;32
12;Heater Radio;Tendoevidencebillionperhapsreadbankenter.;Delgado-Blackwell;Cycling;689;USD;156;5686660000000;Orange;L;pre order;57
13;Smart Trimmer Webcam Heater;Exampleavailablebetter.;ContrerasPLC;Automotive;279;USD;818;1941030000000;Gainsboro;Xxl;pre order;66
14;Automatic Watch Lite Sense;Aseastentirepositivesourcetheir.;Reid,ChaseandBallard;TeamSports;316;USD;329;3500720000000;Tan;5X7In;limited stock;44
15;Eco Iron Monitor Air;Colorsingleindeedyardeventpopularfoodboy.;Barker-Murphy;Automotive;982;USD;47;7887280000000;OliveDrab;Xl;out of stock;79
16;Digital Tablet Router Printer Lite;Acceptcampaigneveryresearchtest.;Vazquez-Smith;Health&Wellness;3;USD;732;4170130000000;LemonChiffon;10X10Cm;backorder;87
17;Eco Freezer Powerbank Watch;Ofpricevisitinterestingenterthreeset.;Pruitt,HigginsandBarnett;CleaningSupplies;340;USD;618;6340910000000;Cyan;S;limited stock;21
18;Cooler Fan;Fallbillioncityshare.;BrayLLC;Smartphones;529;USD;844;267078000000;Bisque;Xs;backorder;22
19;Portable Camera Plus Air Ultra;Realityhairexplainupbad.;Wang-Valenzuela;Women'sClothing;197;USD;163;963840000000;Magenta;L;in stock;96
20;Wireless Powerbank 360 Advanced Ultra;Dealheaddecadeageoutsidemilitaryculture.;CarneyLtd;Bedding&Bath;677;USD;418;3918760000000;Beige;M;out of stock;90
21;Rechargeable Lamp Speakerphone Headphones;Effortownsafemainwalkquickly.;Gallegos,OsborneandCarpenter;Skincare;664;USD;577;1824360000000;DarkBlue;L;pre order;26
22;Mini Scooter Microphone;Maybearoundexpectownwhetherpay.;Douglas,ThorntonandSoto;GroomingTools;784;USD;510;9839670000000;DimGray;L;backorder;55
23;Rechargeable Webcam Stove Grill;MovementyouMrdecidehistoryeffect.;Horn-Pope;Health&Wellness;900;USD;623;6501690000000;PaleGreen;5X7In;out of stock;47
24;Mini Iron Drone Wireless Pro;FromCongresslow.;Khan-Parrish;Cycling;909;USD;797;9496080000000;CadetBlue;Xxl;limited stock;93
25;Portable Freezer Phone Automatic Smart;Livefishaudiencepiecehisagotrue.;BurtonPLC;Automotive;350;USD;756;3486710000000;Snow;Xl;pre order;61
26;Wireless Webcam Stove Grill;Pullatimprovehealthalsoanimalforwardperson.;HenryGroup;Clothing&Apparel;858;USD;912;7097610000000;LightSalmon;50X70Cm;limited stock;43
27;Clock Brush;Otheranothermustexplainsendsomebodyconsider.;Larson-Spence;Furniture;985;USD;180;8301100000000;SaddleBrown;Xl;in stock;40
28;Silent Printer Fan Shaver;Regionweekyetweight.;LoveLLC;Sports&Outdoors;102;USD;669;5564790000000;MediumSpringGreen;L;limited stock;14
29;Wireless Scooter Clean Mini;Greenmainimaginewaysufferwall.;Terry-Oliver;Fragrances;283;USD;343;9921750000000;MintCream;S;pre order;84
30;Automatic Brush Fast Eco;Recordresponserelationship.;NewmanLtd;Kids'Clothing;407;USD;285;2327480000000;SeaGreen;8X10In;out of stock;65
31;Premium Bicycle Microphone;Congresshowlistthirdrise.;Novak,ArcherandWalton;Shoes&Footwear;480;USD;364;6209820000000;AliceBlue;Xl;discontinued;78
32;Smart Phone Scooter Clean;Realitykidcreatethoughtwindow.;Marshall-Dougherty;Women'sClothing;635;USD;727;7883300000000;MediumVioletRed;10X10Cm;backorder;74
33;Bicycle;Gardenmotherbeforetendifferentincrease.;Hays-Cunningham;Smartphones;234;USD;394;7670610000000;White;10X10Cm;backorder;48
34;Wireless Tablet Router Printer Wireless Premium Air;Northmeetingshortsummersituationpositivecandidate.;Meyers-Hess;Sports&Outdoors;781;USD;947;8247900000000;BlanchedAlmond;Xl;out of stock;69
35;Clean Printer Advanced Premium Sense;Bagawayalwaysoftenjoinseatdirection.;WilliamsonPLC;Haircare;913;USD;820;5234090000000;Moccasin;S;discontinued;77
36;Silent Dock Fast;Speaknothospitalbitpart.;May,HendrixandRobbins;Fishing&Hunting;100;USD;802;938364000000;CadetBlue;M;limited stock;12
37;Ultra Speakerphone Oven Go Smart X;Valuebillyeahtellphone.;Zimmerman,BarrandDavis;OfficeSupplies;999;USD;853;450118000000;MediumOrchid;12X18In;pre order;23
38;Rechargeable Projector Pro;Bankeverythingagogirl.;Levine,MartinandMccann;HomeDecor;935;USD;55;655296000000;SlateBlue;Xl;limited stock;52
39;Eco Vacuum;Bitnameseatsea.;WernerPLC;Health&Wellness;259;USD;668;8611990000000;LightCoral;5X7In;in stock;45
40;Smart Grill Tablet Fridge Go Smart Smart;Byresultagobornbecome.;Huff,CameronandStephenson;FitnessEquipment;488;USD;966;9005780000000;Cornsilk;10X10Cm;out of stock;62
41;Digital Stove Silent Pro;Sufferrangebetweenstepmentionpeaceprepare.;Suarez,RiddleandSanders;Health&Wellness;161;USD;349;5367010000000;OrangeRed;Xl;limited stock;9
42;Portable Powerbank X Air;Presentcourtnotemedicalbedredmovie.;Hanson-Schultz;Camping&Hiking;599;USD;263;6854120000000;Moccasin;L;discontinued;17
43;Ultra Cooler Treadmill Touch Pro Ultra;CertainlysimplelightsafechildPMcandidate.;Bonilla-Oconnell;Fragrances;214;USD;574;3625660000000;NavajoWhite;Xxl;pre order;33
44;Mini Fridge Camera;Littledetermineathugemonth.;DeckerandSons;FitnessEquipment;777;USD;832;4894230000000;PaleGoldenRod;Xl;in stock;16
45;Rechargeable Tablet Plus Portable Mini;Expectquestionhowsound.;Mooney-Gonzales;Fragrances;820;USD;535;8183920000000;Cyan;100X200M;in stock;19
46;Tablet;Manydealcommunitypublicbeyondsafeanyone.;Blake,WeissandMontgomery;Beauty&PersonalCare;408;USD;922;8183310000000;Chocolate;M;backorder;34
47;Wireless Light Toaster Lite Touch Eco;Oilguytableindustryhandwhich.;SingletonPLC;Bedding&Bath;791;USD;827;3057640000000;Fuchsia;50X70Cm;in stock;64
48;Scooter;Smallapproachpossiblechooseaccording.;RivasGroup;Cameras&Accessories;370;USD;601;1974900000000;DarkOrchid;L;backorder;46
49;Portable Scale Speaker Powerbank Clean;Throughoutspecialnewyouviewseasonwithin.;MorrisLLC;Women'sClothing;689;USD;332;5175040000000;PowderBlue;S;backorder;94
50;Oven Speaker Fan;Hotbehaviortraditional.;SchwartzLtd;Men'sClothing;489;USD;423;2567560000000;GoldenRod;S;pre order;99
51;Smart Webcam Projector Lock;Subjectagreeyouoff.;StokesInc;Men'sClothing;440;USD;973;4811930000000;SteelBlue;M;in stock;3
52;Automatic Cooler Edge;Careerformuchexist.;Odonnell,BoyleandOconnor;Beauty&PersonalCare;124;USD;513;6261790000000;LimeGreen;50X70Cm;pre order;83
53;Silent Trimmer Shaver Fast;Taskpointseatbetter.;MunozGroup;Smartphones;130;USD;876;4089420000000;DarkSlateGray;5X7In;in stock;76
54;Mini Charger Lock Oven Sense Sense;Majortellhimshareallow.;Burton,GrossandGiles;Haircare;750;USD;623;9282810000000;Olive;12X18In;in stock;81
55;Thermostat Trimmer;Druginterviewhoteldecidepattern.;Hester,LoveandLynch;Accessories-Bags,Hats,Belts;206;USD;677;8282850000000;MidnightBlue;8X10In;discontinued;6
56;Clean Iron Premium Air Wireless;Aroundtoughpopularpresentsignherselfpattern.;Shepherd,GreeneandHouse;Beauty&PersonalCare;293;USD;700;7935750000000;GhostWhite;Xxl;out of stock;5
57;Compact Thermostat Oven;Focusthatconsumeramounthalf.;HullInc;Home&Kitchen;685;USD;747;7695930000000;SaddleBrown;30X40Cm;in stock;36
58;Automatic Blender;Smilehumanmachinesectionbank.;Mahoney-Bryan;HomeDecor;630;USD;438;310775000000;LightGoldenRodYellow;8X10In;backorder;4
59;Brush;Controldaughtereffectinvestmentpiecetrainingnation.;Lowe,MosleyandRivera;Bedding&Bath;273;USD;623;168419000000;RoyalBlue;S;in stock;42
60;Portable Kettle;Applyoutindustrymusttell.;Sampson-Leon;Home&Kitchen;50;USD;413;445371000000;MediumAquaMarine;L;pre order;25
61;Fast Heater Cooker Compact Silent;Strategyfundmindratherchange.;Decker,MontesandLogan;Makeup;367;USD;19;3868470000000;Orchid;8X10In;in stock;15
62;Heater Keyboard;Rememberherekindenjoysourceroomreflectbe.;BrooksandSons;OfficeSupplies;103;USD;208;5328790000000;Chocolate;Xl;backorder;72
63;Silent Speakerphone Scanner Monitor;Qualityyetsignificantlawyerfacefieldyetrealize.;CowanInc;Fragrances;593;USD;580;1710130000000;Navy;Xxl;discontinued;20
64;Automatic Trimmer Sense;Muchtablegroundinformationnewssenior.;Harrington-Valentine;KitchenAppliances;405;USD;950;524638185;SlateGray;8X10In;in stock;85
65;Fridge Cooker;Trybetterlossprettyspecial.;JacksonGroup;Furniture;393;USD;499;1861390000000;Black;S;in stock;80
66;Scanner;Drawmaterialquicklymost.;Wang,AyalaandBowen;CleaningSupplies;472;USD;63;7794860000000;ForestGreen;12X18In;backorder;8
